MESH2_ID,MEAN
362257,0.526732
362306,0.144004
362327,0.390191
362335,0.190864
362336,0.298311
362337,0.362694
362345,0.40871
362346,0.358856
362347,0.333143
362350,0.459449
362356,0.476698
362420,0.40376
362430,0.585862
362431,0.195768
362440,0.438462
362441,0.275993
362442,0.179818
362450,0.494281
362451,0.394116
362452,0.418184
362461,0.463942
362462,0.33398
362472,0.297727
362475,0.0545441
365337,0.497971
372405,0.066564
372415,0.312587
372501,0.123127
372502,0.0799253
372503,0.11914
372511,0.178419
372512,0.0849671
372513,0.103476
372521,0.169972
372522,0.210437
372531,0.240864
372532,0.341099
374102,0.660781
374112,0.693401
383151,0.14754
383152,0.133918
383161,0.153174
383162,0.137871
383172,0.243739
392636,0.417489
392645,0.311562
392646,0.386158
392705,0.130918
392712,0.538155
392715,0.146856
392716,0.219046
392717,0.663186
392721,0.539151
392722,0.525522
392723,0.39105
392725,0.144859
392726,0.16673
392727,0.43524
392732,0.608986
392735,0.261947
392736,0.19575
392737,0.172579
392741,0.685656
392745,0.208763
392746,0.297393
392747,0.258103
392755,0.15407
392756,0.370725
392757,0.440414
392761,0.455574
392766,0.441402
392767,0.341847
392771,0.454621
392776,0.327889
392777,0.34197
392840,0.258454
392850,0.226556
392860,0.261893
392861,0.380985
392870,0.269478
392871,0.315942
392872,0.309221
394271,0.590185
402705,0.160723
402706,0.0803236
402707,0.352597
402727,0.354001
402737,0.263802
402747,0.387603
402757,0.433701
402800,0.252775
402801,0.223059
402802,0.254551
402811,0.451639
402812,0.416583
402821,0.495978
402822,0.503631
402840,0.429858
402843,0.0159348
402850,0.449593
402874,0.209815
404200,0.537143
404201,0.502668
404241,0.491438
404251,0.60244
404261,0.626451
412804,0.187074
412805,0.0835878
412815,0.0693858
412837,0.0668718
412847,0.223686
412857,0.325717
412867,0.397841
412940,0.223199
412950,0.268131
412972,0.580938
414231,0.686726
414240,0.6341
414241,0.65343
422901,0.53719
422902,0.512459
422911,0.291156
422912,0.423884
422913,0.535883
422921,0.476168
422922,0.396932
422923,0.565997
422931,0.534177
422932,0.377408
422933,0.458503
422934,0.474378
422937,0.118255
422942,0.412431
422943,0.447078
422944,0.376263
422945,0.377394
422947,0.156082
422954,0.477371
422955,0.367538
422965,0.455995
423030,0.236907
423040,0.12985
432951,0.598307
432962,0.646395
442914,0.651334
442935,0.746577
442944,0.706014
442956,0.536509
442957,0.530545
442966,0.547693
442967,0.575159
442977,0.554669
452907,0.427224
453023,0.468811
453024,0.499043
453033,0.506209
453034,0.544608
453035,0.544348
453043,0.485541
453044,0.583198
453045,0.614971
453046,0.36825
453047,0.50048
453051,0.652057
453052,0.607022
453053,0.518769
453054,0.488921
453056,0.42091
453057,0.367361
453067,0.250516
453077,0.450822
453160,0.4282
453170,0.498162
462917,0.488282
462927,0.500009
463006,0.243239
463007,0.445397
463012,0.63484
463013,0.255287
463016,0.275309
463035,0.550715
463045,0.542372
463046,0.556343
463054,0.129399
463055,0.553356
463056,0.471016
463057,0.3246
463061,0.448173
463062,0.430175
463063,0.0427504
463064,0.192863
463065,0.0623544
463066,0.299585
463067,0.348796
463071,0.43063
463072,0.284886
463073,0.0358233
463074,0.149833
463075,0.0958107
